iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","953,555,964.70","0.16","953,555,964.70","2,607,838.00","365.65","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","951,004,195.96","0.16","951,004,195.96","3,092,596.00","307.51","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","948,360,333.90","0.16","948,360,333.90","15,086,865.00","62.86","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","936,619,975.29","0.16","936,619,975.29","4,489,383.00","208.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","932,486,682.00","0.16","932,486,682.00","1,198,569.00","778.00","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","927,532,998.00","0.16","927,532,998.00","2,453,791.00","378.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","923,290,913.16","0.16","923,290,913.16","1,884,421.00","489.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","919,634,878.22","0.16","919,634,878.22","17,624,279.00","52.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","916,447,762.47","0.16","916,447,762.47","4,124,613.00","222.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","902,922,880.20","0.15","902,922,880.20","5,116,870.00","176.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","895,718,186.22","0.15","895,718,186.22","3,531,594.00","253.63","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","895,180,455.84","0.15","895,180,455.84","1,730,553.00","517.28","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","883,977,113.34","0.15","883,977,113.34","1,464,678.00","603.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","875,150,783.64","0.15","875,150,783.64","1,768,839.00","494.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","869,582,143.62","0.15","869,582,143.62","9,228,294.00","94.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","865,699,087.98","0.15","865,699,087.98","3,869,738.00","223.71","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","858,606,995.04","0.15","858,606,995.04","6,535,792.00","131.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","847,224,744.96","0.15","847,224,744.96","6,468,352.00","130.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
